奥迪A82021款A8L55TFSIquattro豪华型,宣城,2021年2月,87.70 万元,16.0,1200,5,5,5,5,5,5,5,5
奥迪A82021款A8L50TFSIquattro舒适型,郑州,2020年9月,67.20 万元,9.2,5000,5,5,4,5,5,4,4,5
奥迪A82021款A8L50TFSIquattro舒适型,郑州,2021年6月,67.20 万元,16.0,1500,5,5,5,3,5,5,5,5
奥迪A82021款A8L55TFSIquattro豪华型,茂名,2021年4月,85.70 万元,11.8,2420,5,5,5,5,5,5,4,5
奥迪A82021款A8L55TFSIquattro豪华型,宜昌,2021年4月,86.80 万元,11.3,1680,5,5,5,5,5,5,4,5
奥迪A82021款A8L55TFSIquattro豪华型,荆州,2021年5月,86.80 万元,11.8,800,5,5,5,4,5,5,5,5
奥迪A82021款A8L50TFSIquattro舒适型,温州,2020年12月,72.00 万元,11.5,6000,5,5,2,4,4,3,5,5
奥迪A82021款A8L50TFSIquattro舒适型,汕头,2021年1月,69.50 万元,11.5,3275,5,5,5,5,5,5,5,5
奥迪A82021款A8L50TFSIquattro舒适型,资阳,2021年7月,66.38 万元,12.0,2400,5,5,4,3,5,4,4,5
奥迪A82021款A8L55TFSIquattro尊贵型,广州,2021年4月,98.00 万元,13.0,2780,5,4,4,4,4,5,5,5
奥迪A82021款A8L50TFSIquattro舒适型,重庆,2020年12月,67.42 万元,15.0,6288,2,5,5,5,5,5,5,5
奥迪A82021款A8L55TFSIquattro豪华型,宜昌,2020年9月,86.98 万元,12.8,1670,5,5,4,4,4,5,4,4
奥迪A82021款A8L55TFSIquattro尊贵型,惠州,2021年4月,98.80 万元,11.9,1600,5,5,5,4,5,5,5,5
奥迪A82021款A8L55TFSIquattro豪华型,宜昌,2021年4月,86.80 万元,12.0,2860,4,5,5,5,5,5,5,5
奥迪A82021款A8L55TFSIquattro豪华型,茂名,2021年4月,85.88 万元,11.6,1720,5,5,4,5,5,5,5,5
